Date,Negative Score,Neutral Score,Positive Score,Compound Score,count
2018/11/13,0.03,0.89,0.08,0.989,1
2018/11/14,0.062,1.72,0.219,1.9894,2
2018/11/16,0.053,1.774,0.174,1.9415,2
2018/11/18,0.048,0.876,0.076,0.9965,1
2018/11/20,0.015,1.883,0.102,1.8662,2
2018/11/21,0.115,1.724,0.16,0.9024,2
2018/11/24,0.062,0.867,0.071,0.7624,1
2018/11/25,0.042,0.865,0.093,0.9965,1
2018/11/26,0.087,1.79,0.124,1.928,2
2018/11/27,0.159,2.607,0.234,1.0074,3
2018/11/28,0.065,0.858,0.077,0.9696,1
2018/11/29,0.059,0.759,0.183,0.9994,1
2018/11/30,0.035,0.849,0.115,0.9951,1
2018/12/3,0.075,1.787,0.138,1.716,2
2018/12/5,0.06,0.824,0.116,0.9945,1
2018/12/9,0.123,1.589,0.288,0.3576,2
2018/12/10,0.157,2.583,0.26,1.1786,3
2018/12/11,0.084,0.8,0.116,0.9498,1
2018/12/14,0.148,2.573,0.277,2.8316,3
2018/12/17,0.051,0.898,0.05,0.0539,1
2018/12/18,0.09,1.747,0.162,1.9514,2
2018/12/19,0.035,0.918,0.047,0.6956,1
2018/12/20,0.078,0.803,0.119,0.9797,1
2018/12/24,0.072,0.781,0.147,0.9987,1
2018/12/25,0.032,0.94,0.028,-0.3911,1
2018/12/26,0.112,1.726,0.163,1.1847,2
2018/12/27,0.081,0.829,0.09,0.4221,1
2018/12/28,0.104,3.553,0.344,3.8834,4
2018/12/29,0.05,0.849,0.1,0.8657,1
2018/12/30,0.064,1.822,0.113,1.8209,2
2018/12/31,0.103,0.82,0.077,-0.9835,1
2019/1/1,0.055,0.854,0.092,0.9859,1
2019/1/2,0.142,1.695,0.161,0.2375,2
2019/1/3,0.094,1.685,0.221,1.9559,2
2019/1/4,0.126,0.801,0.074,-0.9939,1
2019/1/6,0.053,1.724,0.224,1.9882,2
2019/1/7,0.056,0.898,0.046,-0.7855,1
2019/1/13,0.067,0.834,0.1,0.9849,1
2019/1/14,0.076,1.693,0.231,1.9747,2
2019/1/15,0.061,0.877,0.063,0.7407,1
2019/1/17,0.213,2.531,0.256,1.0508,3
2019/1/18,0.173,2.59,0.238,2.1627,3
2019/1/19,0.054,0.864,0.082,0.7096,1
2019/1/23,0.074,0.848,0.079,0.718,1
2019/1/24,0.034,0.881,0.084,0.991,1
2019/1/25,0.066,0.818,0.116,0.9972,1
2019/1/30,0.122,3.54,0.337,3.8276,4
2019/1/31,0.31,6.038,0.652,6.7765,7
2019/2/2,0.039,0.828,0.133,0.9982,1
2019/2/5,0.053,0.86,0.087,0.9909,1
2019/2/6,0.03,0.885,0.085,0.9766,1
2019/2/7,0.125,3.48,0.396,3.8347,4
2019/2/11,0.041,0.87,0.089,0.9955,1
2019/2/12,0.034,1.825,0.142,1.9638,2
2019/2/14,0.072,1.774,0.154,1.0878,2
2019/2/15,0.089,2.616,0.296,2.7826,3
2019/2/18,0.035,1.795,0.17,1.99,2
2019/2/19,0.072,0.793,0.135,0.9903,1
2019/2/20,0.09,2.655,0.256,2.6612,3
2019/2/21,0.144,1.673,0.184,0.4921,2
2019/2/22,0.051,1.768,0.181,1.9774,2
2019/2/26,0.252,4.382,0.366,2.9888,5
2019/2/27,0.203,2.596,0.201,-1.3479,3
2019/3/1,0.359,7.007,0.633,7.4159,8
2019/3/2,0.035,0.823,0.142,0.9604,1
2019/3/3,0.03,0.907,0.062,0.9869,1
2019/3/6,0.066,0.889,0.046,-0.9082,1
2019/3/8,0.084,1.764,0.152,1.2644,2
2019/3/9,0.034,0.81,0.155,0.9584,1
2019/3/11,0.14,2.693,0.166,0.8825,3
2019/3/12,0.432,4.224,0.346,-2.5947,5
2019/3/13,0.081,1.792,0.127,0.1241,2
2019/3/14,0.067,1.782,0.151,0.6574,2
2019/3/15,0.065,1.819,0.116,1.6528,2
2019/3/19,0.02,0.873,0.107,0.9991,1
2019/3/20,0.072,1.775,0.152,1.9758,2
2019/3/21,0.082,0.799,0.119,0.9484,1
2019/3/22,0.291,2.502,0.207,-2.0533,3
2019/3/23,0.069,0.872,0.058,-0.3182,1
2019/3/25,0.062,0.86,0.078,0.9951,1
2019/3/27,0.044,0.865,0.092,0.9901,1
2019/3/28,0.103,1.737,0.16,0.7382,2
2019/4/1,0.059,2.717,0.225,2.9278,3
